id,name,category,equipment,primary_muscle,secondary_muscles,difficulty,movement_pattern,instructions,video_url
38,Legs Variation 33,compound,machine,legs,core|hamstrings,advanced,push,Perform controlled reps for legs focus.,
39,Shoulders Variation 34,secondary_compound,kettlebell,shoulders,glutes|quads,beginner,pull,Perform controlled reps for shoulders focus.,
40,Arms Variation 35,isolation,resistance_band,arms,hamstrings|calves,intermediate,squat,Perform controlled reps for arms focus.,
41,Core Variation 36,core,none,core,quads|chest,advanced,hinge,Perform controlled reps for core focus.,
42,Glutes Variation 37,compound,barbell,glutes,calves|back,beginner,lunge,Perform controlled reps for glutes focus.,
43,Hamstrings Variation 38,secondary_compound,dumbbell,hamstrings,chest|legs,intermediate,carry,Perform controlled reps for hamstrings focus.,
44,Quads Variation 39,isolation,cable,quads,back|shoulders,advanced,rotation,Perform controlled reps for quads focus.,
45,Calves Variation 40,core,machine,calves,legs|arms,beginner,brace,Perform controlled reps for calves focus.,
46,Chest Variation 41,compound,kettlebell,chest,shoulders|core,intermediate,push,Perform controlled reps for chest focus.,
47,Back Variation 42,secondary_compound,resistance_band,back,arms|glutes,advanced,pull,Perform controlled reps for back focus.,
48,Legs Variation 43,isolation,none,legs,core|hamstrings,beginner,squat,Perform controlled reps for legs focus.,
49,Shoulders Variation 44,core,barbell,shoulders,glutes|quads,intermediate,hinge,Perform controlled reps for shoulders focus.,
50,Arms Variation 45,compound,dumbbell,arms,hamstrings|calves,advanced,lunge,Perform controlled reps for arms focus.,
51,Core Variation 46,secondary_compound,cable,core,quads|chest,beginner,carry,Perform controlled reps for core focus.,
52,Glutes Variation 47,isolation,machine,glutes,calves|back,intermediate,rotation,Perform controlled reps for glutes focus.,
53,Hamstrings Variation 48,core,kettlebell,hamstrings,chest|legs,advanced,brace,Perform controlled reps for hamstrings focus.,
54,Quads Variation 49,compound,resistance_band,quads,back|shoulders,beginner,push,Perform controlled reps for quads focus.,
55,Calves Variation 50,secondary_compound,none,calves,legs|arms,intermediate,pull,Perform controlled reps for calves focus.,
56,Chest Variation 51,isolation,barbell,chest,shoulders|core,advanced,squat,Perform controlled reps for chest focus.,
57,Back Variation 52,core,dumbbell,back,arms|glutes,beginner,hinge,Perform controlled reps for back focus.,
58,Legs Variation 53,compound,cable,legs,core|hamstrings,intermediate,lunge,Perform controlled reps for legs focus.,
59,Shoulders Variation 54,secondary_compound,machine,shoulders,glutes|quads,advanced,carry,Perform controlled reps for shoulders focus.,
60,Arms Variation 55,isolation,kettlebell,arms,hamstrings|calves,beginner,rotation,Perform controlled reps for arms focus.,
61,Core Variation 56,core,resistance_band,core,quads|chest,intermediate,brace,Perform controlled reps for core focus.,
62,Glutes Variation 57,compound,none,glutes,calves|back,advanced,push,Perform controlled reps for glutes focus.,
63,Hamstrings Variation 58,secondary_compound,barbell,hamstrings,chest|legs,beginner,pull,Perform controlled reps for hamstrings focus.,
64,Quads Variation 59,isolation,dumbbell,quads,back|shoulders,intermediate,squat,Perform controlled reps for quads focus.,
65,Calves Variation 60,core,cable,calves,legs|arms,advanced,hinge,Perform controlled reps for calves focus.,
66,Chest Variation 61,compound,machine,chest,shoulders|core,beginner,lunge,Perform controlled reps for chest focus.,
67,Back Variation 62,secondary_compound,kettlebell,back,arms|glutes,intermediate,carry,Perform controlled reps for back focus.,
68,Legs Variation 63,isolation,resistance_band,legs,core|hamstrings,advanced,rotation,Perform controlled reps for legs focus.,
69,Shoulders Variation 64,core,none,shoulders,glutes|quads,beginner,brace,Perform controlled reps for shoulders focus.,
70,Arms Variation 65,compound,barbell,arms,hamstrings|calves,intermediate,push,Perform controlled reps for arms focus.,
71,Core Variation 66,secondary_compound,dumbbell,core,quads|chest,advanced,pull,Perform controlled reps for core focus.,
72,Glutes Variation 67,isolation,cable,glutes,calves|back,beginner,squat,Perform controlled reps for glutes focus.,
73,Hamstrings Variation 68,core,machine,hamstrings,chest|legs,intermediate,hinge,Perform controlled reps for hamstrings focus.,
74,Quads Variation 69,compound,kettlebell,quads,back|shoulders,advanced,lunge,Perform controlled reps for quads focus.,
75,Calves Variation 70,secondary_compound,resistance_band,calves,legs|arms,beginner,carry,Perform controlled reps for calves focus.,
76,Chest Variation 71,isolation,none,chest,shoulders|core,intermediate,rotation,Perform controlled reps for chest focus.,
77,Back Variation 72,core,barbell,back,arms|glutes,advanced,brace,Perform controlled reps for back focus.,
78,Legs Variation 73,compound,dumbbell,legs,core|hamstrings,beginner,push,Perform controlled reps for legs focus.,
79,Shoulders Variation 74,secondary_compound,cable,shoulders,glutes|quads,intermediate,pull,Perform controlled reps for shoulders focus.,
80,Arms Variation 75,isolation,machine,arms,hamstrings|calves,advanced,squat,Perform controlled reps for arms focus.,
81,Core Variation 76,core,kettlebell,core,quads|chest,beginner,hinge,Perform controlled reps for core focus.,
82,Glutes Variation 77,compound,resistance_band,glutes,calves|back,intermediate,lunge,Perform controlled reps for glutes focus.,
83,Hamstrings Variation 78,secondary_compound,none,hamstrings,chest|legs,advanced,carry,Perform controlled reps for hamstrings focus.,
84,Quads Variation 79,isolation,barbell,quads,back|shoulders,beginner,rotation,Perform controlled reps for quads focus.,
85,Calves Variation 80,core,dumbbell,calves,legs|arms,intermediate,brace,Perform controlled reps for calves focus.,
86,Chest Variation 81,compound,cable,chest,shoulders|core,advanced,push,Perform controlled reps for chest focus.,
87,Back Variation 82,secondary_compound,machine,back,arms|glutes,beginner,pull,Perform controlled reps for back focus.,
88,Legs Variation 83,isolation,kettlebell,legs,core|hamstrings,intermediate,squat,Perform controlled reps for legs focus.,
89,Shoulders Variation 84,core,resistance_band,shoulders,glutes|quads,advanced,hinge,Perform controlled reps for shoulders focus.,
90,Arms Variation 85,compound,none,arms,hamstrings|calves,beginner,lunge,Perform controlled reps for arms focus.,
91,Core Variation 86,secondary_compound,barbell,core,quads|chest,intermediate,carry,Perform controlled reps for core focus.,
92,Glutes Variation 87,isolation,dumbbell,glutes,calves|back,advanced,rotation,Perform controlled reps for glutes focus.,
93,Hamstrings Variation 88,core,cable,hamstrings,chest|legs,beginner,brace,Perform controlled reps for hamstrings focus.,
94,Quads Variation 89,compound,machine,quads,back|shoulders,intermediate,push,Perform controlled reps for quads focus.,
95,Calves Variation 90,secondary_compound,kettlebell,calves,legs|arms,advanced,pull,Perform controlled reps for calves focus.,
96,Chest Variation 91,isolation,resistance_band,chest,shoulders|core,beginner,squat,Perform controlled reps for chest focus.,
97,Back Variation 92,core,none,back,arms|glutes,intermediate,hinge,Perform controlled reps for back focus.,
98,Legs Variation 93,compound,barbell,legs,core|hamstrings,advanced,lunge,Perform controlled reps for legs focus.,
99,Shoulders Variation 94,secondary_compound,dumbbell,shoulders,glutes|quads,beginner,carry,Perform controlled reps for shoulders focus.,
100,Arms Variation 95,isolation,cable,arms,hamstrings|calves,intermediate,rotation,Perform controlled reps for arms focus.,
101,Core Variation 96,core,machine,core,quads|chest,advanced,brace,Perform controlled reps for core focus.,
102,Glutes Variation 97,compound,kettlebell,glutes,calves|back,beginner,push,Perform controlled reps for glutes focus.,
103,Hamstrings Variation 98,secondary_compound,resistance_band,hamstrings,chest|legs,intermediate,pull,Perform controlled reps for hamstrings focus.,
104,Quads Variation 99,isolation,none,quads,back|shoulders,advanced,squat,Perform controlled reps for quads focus.,
105,Calves Variation 100,core,barbell,calves,legs|arms,beginner,hinge,Perform controlled reps for calves focus.,
106,Chest Variation 101,compound,dumbbell,chest,shoulders|core,intermediate,lunge,Perform controlled reps for chest focus.,
107,Back Variation 102,secondary_compound,cable,back,arms|glutes,advanced,carry,Perform controlled reps for back focus.,
108,Legs Variation 103,isolation,machine,legs,core|hamstrings,beginner,rotation,Perform controlled reps for legs focus.,
109,Shoulders Variation 104,core,kettlebell,shoulders,glutes|quads,intermediate,brace,Perform controlled reps for shoulders focus.,
110,Arms Variation 105,compound,resistance_band,arms,hamstrings|calves,advanced,push,Perform controlled reps for arms focus.,
111,Core Variation 106,secondary_compound,none,core,quads|chest,beginner,pull,Perform controlled reps for core focus.,
112,Glutes Variation 107,isolation,barbell,glutes,calves|back,intermediate,squat,Perform controlled reps for glutes focus.,
113,Hamstrings Variation 108,core,dumbbell,hamstrings,chest|legs,advanced,hinge,Perform controlled reps for hamstrings focus.,
114,Quads Variation 109,compound,cable,quads,back|shoulders,beginner,lunge,Perform controlled reps for quads focus.,
115,Calves Variation 110,secondary_compound,machine,calves,legs|arms,intermediate,carry,Perform controlled reps for calves focus.,
116,Chest Variation 111,isolation,kettlebell,chest,shoulders|core,advanced,rotation,Perform controlled reps for chest focus.,
117,Back Variation 112,core,resistance_band,back,arms|glutes,beginner,brace,Perform controlled reps for back focus.,
118,Legs Variation 113,compound,none,legs,core|hamstrings,intermediate,push,Perform controlled reps for legs focus.,
119,Shoulders Variation 114,secondary_compound,barbell,shoulders,glutes|quads,advanced,pull,Perform controlled reps for shoulders focus.,
120,Arms Variation 115,isolation,dumbbell,arms,hamstrings|calves,beginner,squat,Perform controlled reps for arms focus.,
121,Core Variation 116,core,cable,core,quads|chest,intermediate,hinge,Perform controlled reps for core focus.,
122,Glutes Variation 117,compound,machine,glutes,calves|back,advanced,lunge,Perform controlled reps for glutes focus.,
123,Hamstrings Variation 118,secondary_compound,kettlebell,hamstrings,chest|legs,beginner,carry,Perform controlled reps for hamstrings focus.,
124,Quads Variation 119,isolation,resistance_band,quads,back|shoulders,intermediate,rotation,Perform controlled reps for quads focus.,
125,Calves Variation 120,core,none,calves,legs|arms,advanced,brace,Perform controlled reps for calves focus.,
126,Chest Variation 121,compound,barbell,chest,shoulders|core,beginner,push,Perform controlled reps for chest focus.,
127,Back Variation 122,secondary_compound,dumbbell,back,arms|glutes,intermediate,pull,Perform controlled reps for back focus.,
128,Legs Variation 123,isolation,cable,legs,core|hamstrings,advanced,squat,Perform controlled reps for legs focus.,
129,Shoulders Variation 124,core,machine,shoulders,glutes|quads,beginner,hinge,Perform controlled reps for shoulders focus.,
130,Arms Variation 125,compound,kettlebell,arms,hamstrings|calves,intermediate,lunge,Perform controlled reps for arms focus.,
131,Core Variation 126,secondary_compound,resistance_band,core,quads|chest,advanced,carry,Perform controlled reps for core focus.,
132,Glutes Variation 127,isolation,none,glutes,calves|back,beginner,rotation,Perform controlled reps for glutes focus.,
133,Hamstrings Variation 128,core,barbell,hamstrings,chest|legs,intermediate,brace,Perform controlled reps for hamstrings focus.,
134,Quads Variation 129,compound,dumbbell,quads,back|shoulders,advanced,push,Perform controlled reps for quads focus.,
135,Calves Variation 130,secondary_compound,cable,calves,legs|arms,beginner,pull,Perform controlled reps for calves focus.,
136,Chest Variation 131,isolation,machine,chest,shoulders|core,intermediate,squat,Perform controlled reps for chest focus.,
137,Back Variation 132,core,kettlebell,back,arms|glutes,advanced,hinge,Perform controlled reps for back focus.,
138,Legs Variation 133,compound,resistance_band,legs,core|hamstrings,beginner,lunge,Perform controlled reps for legs focus.,
139,Shoulders Variation 134,secondary_compound,none,shoulders,glutes|quads,intermediate,carry,Perform controlled reps for shoulders focus.,
140,Arms Variation 135,isolation,barbell,arms,hamstrings|calves,advanced,rotation,Perform controlled reps for arms focus.,
141,Core Variation 136,core,dumbbell,core,quads|chest,beginner,brace,Perform controlled reps for core focus.,
142,Glutes Variation 137,compound,cable,glutes,calves|back,intermediate,push,Perform controlled reps for glutes focus.,
143,Hamstrings Variation 138,secondary_compound,machine,hamstrings,chest|legs,advanced,pull,Perform controlled reps for hamstrings focus.,
144,Quads Variation 139,isolation,kettlebell,quads,back|shoulders,beginner,squat,Perform controlled reps for quads focus.,
145,Calves Variation 140,core,resistance_band,calves,legs|arms,intermediate,hinge,Perform controlled reps for calves focus.,
146,Chest Variation 141,compound,none,chest,shoulders|core,advanced,lunge,Perform controlled reps for chest focus.,
147,Back Variation 142,secondary_compound,barbell,back,arms|glutes,beginner,carry,Perform controlled reps for back focus.,
148,Legs Variation 143,isolation,dumbbell,legs,core|hamstrings,intermediate,rotation,Perform controlled reps for legs focus.,
149,Shoulders Variation 144,core,cable,shoulders,glutes|quads,advanced,brace,Perform controlled reps for shoulders focus.,
150,Arms Variation 145,compound,machine,arms,hamstrings|calves,beginner,push,Perform controlled reps for arms focus.,
151,Core Variation 146,secondary_compound,kettlebell,core,quads|chest,intermediate,pull,Perform controlled reps for core focus.,
152,Glutes Variation 147,isolation,resistance_band,glutes,calves|back,advanced,squat,Perform controlled reps for glutes focus.,
153,Hamstrings Variation 148,core,none,hamstrings,chest|legs,beginner,hinge,Perform controlled reps for hamstrings focus.,
154,Quads Variation 149,compound,barbell,quads,back|shoulders,intermediate,lunge,Perform controlled reps for quads focus.,
155,Calves Variation 150,secondary_compound,dumbbell,calves,legs|arms,advanced,carry,Perform controlled reps for calves focus.,
156,Chest Variation 151,isolation,cable,chest,shoulders|core,beginner,rotation,Perform controlled reps for chest focus.,
157,Back Variation 152,core,machine,back,arms|glutes,intermediate,brace,Perform controlled reps for back focus.,
158,Legs Variation 153,compound,kettlebell,legs,core|hamstrings,advanced,push,Perform controlled reps for legs focus.,
159,Shoulders Variation 154,secondary_compound,resistance_band,shoulders,glutes|quads,beginner,pull,Perform controlled reps for shoulders focus.,
160,Arms Variation 155,isolation,none,arms,hamstrings|calves,intermediate,squat,Perform controlled reps for arms focus.,
161,Core Variation 156,core,barbell,core,quads|chest,advanced,hinge,Perform controlled reps for core focus.,
162,Glutes Variation 157,compound,dumbbell,glutes,calves|back,beginner,lunge,Perform controlled reps for glutes focus.,
163,Hamstrings Variation 158,secondary_compound,cable,hamstrings,chest|legs,intermediate,carry,Perform controlled reps for hamstrings focus.,
164,Quads Variation 159,isolation,machine,quads,back|shoulders,advanced,rotation,Perform controlled reps for quads focus.,
165,Calves Variation 160,core,kettlebell,calves,legs|arms,beginner,brace,Perform controlled reps for calves focus.,
166,Chest Variation 161,compound,resistance_band,chest,shoulders|core,intermediate,push,Perform controlled reps for chest focus.,
167,Back Variation 162,secondary_compound,none,back,arms|glutes,advanced,pull,Perform controlled reps for back focus.,
168,Legs Variation 163,isolation,barbell,legs,core|hamstrings,beginner,squat,Perform controlled reps for legs focus.,
169,Shoulders Variation 164,core,dumbbell,shoulders,glutes|quads,intermediate,hinge,Perform controlled reps for shoulders focus.,
170,Arms Variation 165,compound,cable,arms,hamstrings|calves,advanced,lunge,Perform controlled reps for arms focus.,
171,Core Variation 166,secondary_compound,machine,core,quads|chest,beginner,carry,Perform controlled reps for core focus.,
172,Glutes Variation 167,isolation,kettlebell,glutes,calves|back,intermediate,rotation,Perform controlled reps for glutes focus.,
173,Hamstrings Variation 168,core,resistance_band,hamstrings,chest|legs,advanced,brace,Perform controlled reps for hamstrings focus.,
174,Quads Variation 169,compound,none,quads,back|shoulders,beginner,push,Perform controlled reps for quads focus.,
175,Calves Variation 170,secondary_compound,barbell,calves,legs|arms,intermediate,pull,Perform controlled reps for calves focus.,
176,Chest Variation 171,isolation,dumbbell,chest,shoulders|core,advanced,squat,Perform controlled reps for chest focus.,
177,Back Variation 172,core,cable,back,arms|glutes,beginner,hinge,Perform controlled reps for back focus.,
178,Legs Variation 173,compound,machine,legs,core|hamstrings,intermediate,lunge,Perform controlled reps for legs focus.,
179,Shoulders Variation 174,secondary_compound,kettlebell,shoulders,glutes|quads,advanced,carry,Perform controlled reps for shoulders focus.,
180,Arms Variation 175,isolation,resistance_band,arms,hamstrings|calves,beginner,rotation,Perform controlled reps for arms focus.,
181,Core Variation 176,core,none,core,quads|chest,intermediate,brace,Perform controlled reps for core focus.,
182,Glutes Variation 177,compound,barbell,glutes,calves|back,advanced,push,Perform controlled reps for glutes focus.,
183,Hamstrings Variation 178,secondary_compound,dumbbell,hamstrings,chest|legs,beginner,pull,Perform controlled reps for hamstrings focus.,
184,Quads Variation 179,isolation,cable,quads,back|shoulders,intermediate,squat,Perform controlled reps for quads focus.,
185,Calves Variation 180,core,machine,calves,legs|arms,advanced,hinge,Perform controlled reps for calves focus.,
186,Chest Variation 181,compound,kettlebell,chest,shoulders|core,beginner,lunge,Perform controlled reps for chest focus.,
187,Back Variation 182,secondary_compound,resistance_band,back,arms|glutes,intermediate,carry,Perform controlled reps for back focus.,
188,Legs Variation 183,isolation,none,legs,core|hamstrings,advanced,rotation,Perform controlled reps for legs focus.,
189,Shoulders Variation 184,core,barbell,shoulders,glutes|quads,beginner,brace,Perform controlled reps for shoulders focus.,
190,Arms Variation 185,compound,dumbbell,arms,hamstrings|calves,intermediate,push,Perform controlled reps for arms focus.,
191,Core Variation 186,secondary_compound,cable,core,quads|chest,advanced,pull,Perform controlled reps for core focus.,
192,Glutes Variation 187,isolation,machine,glutes,calves|back,beginner,squat,Perform controlled reps for glutes focus.,
193,Hamstrings Variation 188,core,kettlebell,hamstrings,chest|legs,intermediate,hinge,Perform controlled reps for hamstrings focus.,
194,Quads Variation 189,compound,resistance_band,quads,back|shoulders,advanced,lunge,Perform controlled reps for quads focus.,
195,Calves Variation 190,secondary_compound,none,calves,legs|arms,beginner,carry,Perform controlled reps for calves focus.,
196,Chest Variation 191,isolation,barbell,chest,shoulders|core,intermediate,rotation,Perform controlled reps for chest focus.,
197,Back Variation 192,core,dumbbell,back,arms|glutes,advanced,brace,Perform controlled reps for back focus.,
198,Legs Variation 193,compound,cable,legs,core|hamstrings,beginner,push,Perform controlled reps for legs focus.,
199,Shoulders Variation 194,secondary_compound,machine,shoulders,glutes|quads,intermediate,pull,Perform controlled reps for shoulders focus.,
200,Arms Variation 195,isolation,kettlebell,arms,hamstrings|calves,advanced,squat,Perform controlled reps for arms focus.,
201,Core Variation 196,core,resistance_band,core,quads|chest,beginner,hinge,Perform controlled reps for core focus.,
202,Glutes Variation 197,compound,none,glutes,calves|back,intermediate,lunge,Perform controlled reps for glutes focus.,
203,Hamstrings Variation 198,secondary_compound,barbell,hamstrings,chest|legs,advanced,carry,Perform controlled reps for hamstrings focus.,
204,Quads Variation 199,isolation,dumbbell,quads,back|shoulders,beginner,rotation,Perform controlled reps for quads focus.,
205,Calves Variation 200,core,cable,calves,legs|arms,intermediate,brace,Perform controlled reps for calves focus.,
206,Chest Variation 201,compound,machine,chest,shoulders|core,advanced,push,Perform controlled reps for chest focus.,
207,Back Variation 202,secondary_compound,kettlebell,back,arms|glutes,beginner,pull,Perform controlled reps for back focus.,
208,Legs Variation 203,isolation,resistance_band,legs,core|hamstrings,intermediate,squat,Perform controlled reps for legs focus.,
209,Shoulders Variation 204,core,none,shoulders,glutes|quads,advanced,hinge,Perform controlled reps for shoulders focus.,
210,Arms Variation 205,compound,barbell,arms,hamstrings|calves,beginner,lunge,Perform controlled reps for arms focus.,
211,Core Variation 206,secondary_compound,dumbbell,core,quads|chest,intermediate,carry,Perform controlled reps for core focus.,
212,Glutes Variation 207,isolation,cable,glutes,calves|back,advanced,rotation,Perform controlled reps for glutes focus.,
213,Hamstrings Variation 208,core,machine,hamstrings,chest|legs,beginner,brace,Perform controlled reps for hamstrings focus.,
214,Quads Variation 209,compound,kettlebell,quads,back|shoulders,intermediate,push,Perform controlled reps for quads focus.,
215,Calves Variation 210,secondary_compound,resistance_band,calves,legs|arms,advanced,pull,Perform controlled reps for calves focus.,
216,Chest Variation 211,isolation,none,chest,shoulders|core,beginner,squat,Perform controlled reps for chest focus.,
217,Back Variation 212,core,barbell,back,arms|glutes,intermediate,hinge,Perform controlled reps for back focus.,
218,Legs Variation 213,compound,dumbbell,legs,core|hamstrings,advanced,lunge,Perform controlled reps for legs focus.,
219,Shoulders Variation 214,secondary_compound,cable,shoulders,glutes|quads,beginner,carry,Perform controlled reps for shoulders focus.,
220,Arms Variation 215,isolation,machine,arms,hamstrings|calves,intermediate,rotation,Perform controlled reps for arms focus.,
221,Core Variation 216,core,kettlebell,core,quads|chest,advanced,brace,Perform controlled reps for core focus.,
222,Glutes Variation 217,compound,resistance_band,glutes,calves|back,beginner,push,Perform controlled reps for glutes focus.,
223,Hamstrings Variation 218,secondary_compound,none,hamstrings,chest|legs,intermediate,pull,Perform controlled reps for hamstrings focus.,
224,Quads Variation 219,isolation,barbell,quads,back|shoulders,advanced,squat,Perform controlled reps for quads focus.,
225,Calves Variation 220,core,dumbbell,calves,legs|arms,beginner,hinge,Perform controlled reps for calves focus.,
226,Chest Variation 221,compound,cable,chest,shoulders|core,intermediate,lunge,Perform controlled reps for chest focus.,
227,Back Variation 222,secondary_compound,machine,back,arms|glutes,advanced,carry,Perform controlled reps for back focus.,
228,Legs Variation 223,isolation,kettlebell,legs,core|hamstrings,beginner,rotation,Perform controlled reps for legs focus.,
229,Shoulders Variation 224,core,resistance_band,shoulders,glutes|quads,intermediate,brace,Perform controlled reps for shoulders focus.,
230,Arms Variation 225,compound,none,arms,hamstrings|calves,advanced,push,Perform controlled reps for arms focus.,
231,Core Variation 226,secondary_compound,barbell,core,quads|chest,beginner,pull,Perform controlled reps for core focus.,
232,Glutes Variation 227,isolation,dumbbell,glutes,calves|back,intermediate,squat,Perform controlled reps for glutes focus.,
233,Hamstrings Variation 228,core,cable,hamstrings,chest|legs,advanced,hinge,Perform controlled reps for hamstrings focus.,
234,Quads Variation 229,compound,machine,quads,back|shoulders,beginner,lunge,Perform controlled reps for quads focus.,
235,Calves Variation 230,secondary_compound,kettlebell,calves,legs|arms,intermediate,carry,Perform controlled reps for calves focus.,
236,Chest Variation 231,isolation,resistance_band,chest,shoulders|core,advanced,rotation,Perform controlled reps for chest focus.,
237,Back Variation 232,core,none,back,arms|glutes,beginner,brace,Perform controlled reps for back focus.,
238,Legs Variation 233,compound,barbell,legs,core|hamstrings,intermediate,push,Perform controlled reps for legs focus.,
239,Shoulders Variation 234,secondary_compound,dumbbell,shoulders,glutes|quads,advanced,pull,Perform controlled reps for shoulders focus.,
240,Arms Variation 235,isolation,cable,arms,hamstrings|calves,beginner,squat,Perform controlled reps for arms focus.,
241,Core Variation 236,core,machine,core,quads|chest,intermediate,hinge,Perform controlled reps for core focus.,
242,Glutes Variation 237,compound,kettlebell,glutes,calves|back,advanced,lunge,Perform controlled reps for glutes focus.,
243,Hamstrings Variation 238,secondary_compound,resistance_band,hamstrings,chest|legs,beginner,carry,Perform controlled reps for hamstrings focus.,
244,Quads Variation 239,isolation,none,quads,back|shoulders,intermediate,rotation,Perform controlled reps for quads focus.,
245,Calves Variation 240,core,barbell,calves,legs|arms,advanced,brace,Perform controlled reps for calves focus.,
246,Chest Variation 241,compound,dumbbell,chest,shoulders|core,beginner,push,Perform controlled reps for chest focus.,
247,Back Variation 242,secondary_compound,cable,back,arms|glutes,intermediate,pull,Perform controlled reps for back focus.,
248,Legs Variation 243,isolation,machine,legs,core|hamstrings,advanced,squat,Perform controlled reps for legs focus.,
249,Shoulders Variation 244,core,kettlebell,shoulders,glutes|quads,beginner,hinge,Perform controlled reps for shoulders focus.,
250,Arms Variation 245,compound,resistance_band,arms,hamstrings|calves,intermediate,lunge,Perform controlled reps for arms focus.,
251,Core Variation 246,secondary_compound,none,core,quads|chest,advanced,carry,Perform controlled reps for core focus.,
252,Glutes Variation 247,isolation,barbell,glutes,calves|back,beginner,rotation,Perform controlled reps for glutes focus.,
253,Hamstrings Variation 248,core,dumbbell,hamstrings,chest|legs,intermediate,brace,Perform controlled reps for hamstrings focus.,
254,Quads Variation 249,compound,cable,quads,back|shoulders,advanced,push,Perform controlled reps for quads focus.,
255,Calves Variation 250,secondary_compound,machine,calves,legs|arms,beginner,pull,Perform controlled reps for calves focus.,
256,Chest Variation 251,isolation,kettlebell,chest,shoulders|core,intermediate,squat,Perform controlled reps for chest focus.,
257,Back Variation 252,core,resistance_band,back,arms|glutes,advanced,hinge,Perform controlled reps for back focus.,
258,Legs Variation 253,compound,none,legs,core|hamstrings,beginner,lunge,Perform controlled reps for legs focus.,
